tournament,team_country,team_country_code,team_finish,team_pool,team_color_hex,team_color2_hex,player_name,player_role,position,position_group,bats,throws,height,weight,born_year,birthplace,mlb_affiliation,domestic_league,ba,hr,rbi,ops,era,ip,k,saves,k9,key_stat_note,br_id,notes
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Luis Garcia,,SP,Pitcher,R,R,6-2,230,1996,"Caracas, Venezuela",Houston Astros,MLB,,,,,2.45,11.0,10,0,8.2,Solid rotation arm.,garcilu05,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Ranger Suarez,,SP,Pitcher,L,L,6-1,217,1995,"Caracas, Venezuela",Philadelphia Phillies,MLB,,,,,1.93,9.1,8,0,7.7,Lefty starter. Key Pool C performance.,suarera01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Eduardo Rodriguez,,SP,Pitcher,L,L,6-2,231,1993,"Valencia, Venezuela",Arizona Diamondbacks,MLB,,,,,3.00,6.0,6,0,9.0,Veteran lefty.,rodried01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Jhoan Duran,,RP,Pitcher,R,R,6-5,230,1998,"Esperanza, Venezuela",Minnesota Twins,MLB,,,,,1.50,6.0,9,0,13.5,Setup man. 100+ MPH velocity.,duranjh01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Jose Alvarado,,RP,Pitcher,L,L,6-2,245,1995,"Maracaibo, Venezuela",Philadelphia Phillies,MLB,,,,,2.25,4.0,6,0,13.5,Power lefty bullpen arm.,alvarjo04,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Anthony DeSclafani,,RP,Pitcher,R,R,6-1,206,1990,"Freehold NJ USA",Free Agent,MLB,,,,,2.70,3.1,4,0,10.8,Veteran swingman.,desclan01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Silvino Bracho,,RP,Pitcher,R,R,5-11,189,1992,"Caracas, Venezuela",Various MiLB,MiLB,,,,,1.80,5.0,5,0,9.0,Veteran middle relief.,brachsi01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Yefry Ramirez,,RP,Pitcher,R,R,6-3,180,1993,"San Cristobal Venezuela",NPB,NPB,,,,,2.45,4.0,5,0,11.3,NPB-based reliever. Pacific League experience.,rmirye01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Erasmo Ramirez,,RP,Pitcher,R,R,6-1,225,1990,"Rivas Nicaragua",Various,MLB,,,,,3.50,5.1,4,0,6.8,Veteran swingman.,ramirer04,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Wilmer Flores,,1B,Hitter,R,R,6-3,205,1991,"Valencia, Venezuela",San Francisco Giants,MLB,.268,1,3,.789,,,,,,Bench bat.,florewi01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Asdrubal Cabrera,,IF,Hitter,S,R,6-0,205,1985,"Puerto La Cruz Venezuela",Retired,MLB,.232,0,2,.625,,,,,,Veteran utility infielder.,cabreas01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Carlos Carrasco,,SP,Pitcher,R,R,6-3,221,1987,"Barquisimeto Venezuela",Free Agent,MLB,,,,,3.86,4.2,3,0,5.8,Veteran starter.,carraca01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Eduardo Escobar,,3B,Hitter,S,R,5-10,194,1989,"La Pica Venezuela",Free Agent,MLB,.215,0,1,.598,,,,,,Veteran utility.,escobed01,
WBC 2026,Venezuela,VEN,Champion,C,#CE1126,#FCD116,Renato Nunez,,DH,Hitter,R,R,6-1,220,1994,"Valencia, Venezuela",NPB,NPB,.272,1,4,.864,,,,,,NPB power bat. Currently with Yomiuri.,nunezre01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Vladimir Guerrero Jr,Star,1B,Hitter,R,R,6-2,250,1999,"Montreal Canada",Toronto Blue Jays,MLB,.426,4,11,1.421,,,,,,Tournament 1.421 OPS leader. Dominant.,guerrvl02,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Junior Caminero,Star,3B,Hitter,R,R,6-1,210,2003,"Mao Dominican Republic",Tampa Bay Rays,MLB,.350,3,8,1.298,,,,,,Tournament breakout at 22. Power.,caminju01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Fernando Tatis Jr,Star,OF,Hitter,R,R,6-3,217,1999,"San Pedro de Macoris DR",San Diego Padres,MLB,.318,2,11,1.187,,,,,,11 RBI. Tournament-leading clutch.,tatisfe02,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Manny Machado,Captain,3B,Hitter,R,R,6-3,218,1992,"Hialeah FL USA",San Diego Padres,MLB,.310,1,8,.987,,,,,,Captain. .481 OBP. Veteran leader.,machaman01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Oneil Cruz,Star,OF,Hitter,L,R,6-7,215,1998,"Nizao Dominican Republic",Pittsburgh Pirates,MLB,.412,3,9,2.750,,,,,,2.750 OPS. Tournament's most powerful bat.,cruzon01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Juan Soto,Star,OF,Hitter,L,L,6-2,224,1998,"Santo Domingo DR",New York Mets,MLB,.298,2,9,1.198,,,,,,Veteran star. .487 OBP.,sotoju01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Rafael Devers,Star,3B/DH,Hitter,L,R,6-0,237,1996,"Sanchez DR",San Francisco Giants,MLB,.305,2,7,1.087,,,,,,Power left-handed bat.,deverra01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Jeremy Pena,,SS,Hitter,R,R,6-0,202,1997,"Santo Domingo DR",Houston Astros,MLB,.275,1,5,.895,,,,,,Postseason hero turned WBC starter.,penaje01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Julio Rodriguez,Star,OF,Hitter,R,R,6-3,228,2000,"Loma de Cabrera DR",Seattle Mariners,MLB,.290,1,6,.954,,,,,,Five-tool centerpiece.,rodriju03,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Ketel Marte,,2B,Hitter,S,R,6-1,210,1993,"Nizao DR",Arizona Diamondbacks,MLB,.265,2,5,.912,,,,,,Veteran All-Star middle infielder.,marteke01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Robinson Cano,,2B/DH,Hitter,L,R,6-0,210,1982,"San Pedro de Macoris DR",Retired,MLB,.245,1,4,.789,,,,,,Final WBC. Veteran legend.,canoro01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Jose Ramirez,,3B,Hitter,S,R,5-9,190,1992,"Banes DR",Cleveland Guardians,MLB,.298,2,6,1.045,,,,,,Multi-time All-Star.,ramirjo01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Willy Adames,,SS,Hitter,R,R,6-0,200,1995,"Santiago DR",San Francisco Giants,MLB,.272,1,4,.834,,,,,,SS depth.,adamewi01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Christian Bethancourt,,C,Hitter,R,R,6-2,218,1991,"San Pedro de Macoris DR",Free Agent,MLB,.250,1,3,.756,,,,,,Catcher.,bethaCh01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Henry Davis,,C,Hitter,R,R,6-2,210,1999,"South Salem NY USA",Pittsburgh Pirates,MLB,.243,0,2,.687,,,,,,Backup catcher.,davishe01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Cristopher Sanchez,Ace,SP,Pitcher,L,L,6-6,225,1996,"Santo Domingo DR",Philadelphia Phillies,MLB,,,,,1.45,9.1,18,0,17.4,17.1 K/9. Rotation anchor.,sanchcr01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Sandy Alcantara,,SP,Pitcher,R,R,6-5,200,1995,"Bani Dominican Republic",Miami Marlins,MLB,,,,,2.45,8.2,8,0,8.3,Cy Young winner. Top of rotation.,alcansa01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Luis Severino,,SP,Pitcher,R,R,6-2,225,1994,"Sabana de la Mar DR",Oakland Athletics,MLB,,,,,1.80,5.0,11,0,19.8,11 K in 5 IP. Dominant.,severlu01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Hunter Brown,,SP,Pitcher,R,R,6-2,212,1998,"Bloomfield Hills MI USA",Houston Astros,MLB,,,,,2.10,8.1,9,0,9.7,Houston Astros frontline.,brownhu01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Bryan Bello,,SP,Pitcher,R,R,6-1,170,1999,"Samana DR",Boston Red Sox,MLB,,,,,1.80,5.0,7,0,12.6,5 IP 1 H 7 K. Dominant performance.,bellobr01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Edwin Diaz,Closer,CL,Pitcher,R,R,6-3,165,1994,"Naguabo Puerto Rico",New York Mets,MLB,,,,,0.00,4.0,8,3,18.0,DR closer. Multiple saves.,diazed01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Camilo Doval,,RP,Pitcher,R,R,6-2,185,1997,"Yamasa DR",San Francisco Giants,MLB,,,,,2.25,4.0,5,0,11.3,Setup man.,dovaca01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Gregory Soto,,RP,Pitcher,L,L,6-1,238,1995,"Constanza DR",Various,MLB,,,,,3.00,3.0,4,0,12.0,Lefty bullpen arm.,sotogr01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Diego Castillo,,RP,Pitcher,R,R,6-2,235,1994,"Bani DR",Various,MLB,,,,,2.45,3.2,4,0,9.8,Veteran reliever.,castidi02,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Carlos Estevez,,RP,Pitcher,R,R,6-6,250,1992,"Santo Domingo DR",Various,MLB,,,,,1.80,5.0,6,0,10.8,Closer-quality reliever.,estevca01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Yhoan Duran,,RP,Pitcher,R,R,6-3,180,1996,"DR",NPB,NPB,,,,,2.45,4.0,5,0,11.3,NPB-based veteran.,duranyh01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Tony Gonsolin,,SP,Pitcher,R,R,6-3,205,1994,"Vacaville CA USA",Los Angeles Dodgers,MLB,,,,,3.00,3.0,3,0,9.0,Spot starter.,gonsoto01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Junior Fernandez,,RP,Pitcher,R,R,6-1,200,1997,"DR",MiLB,MiLB,,,,,3.50,3.0,3,0,9.0,Bullpen depth.,fernaju01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Yefry Ramirez,,RP,Pitcher,R,R,6-3,180,1993,"DR",NPB,NPB,,,,,2.70,3.1,4,0,10.8,NPB-based reliever.,rmirye01,
WBC 2026,Dominican Republic,DOM,Semifinalist,B,#002D62,#CE1126,Geraldo Perdomo,,SS,Hitter,S,R,6-2,203,1999,"DR",Arizona Diamondbacks,MLB,.260,0,2,.715,,,,,,Bench middle infield.,perdoge01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Aaron Nola,Ace,SP,Pitcher,R,R,6-2,210,1993,"Baton Rouge LA USA",Philadelphia Phillies,MLB,,,,,1.00,9.0,11,0,11.0,Rotation ace. 9 IP 1.00 ERA.,nolaaa01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Sam DeLucia,,SP,Pitcher,L,L,6-2,205,1998,"Buffalo NY USA",Free Agent,MLB,,,,,2.35,7.2,8,0,9.4,7.2 IP 2.35 ERA 0.65 WHIP. Cinderella performance.,delucsa01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Greg Weissert,Closer,CL,Pitcher,R,R,6-2,200,1995,"Smithtown NY USA",New York Yankees,MLB,,,,,0.00,3.0,5,3,15.0,Closer. 3 saves. Dominant.,weisser01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Dante Nori,Star,OF,Hitter,R,R,6-0,180,2004,"Princeton NJ USA",Cincinnati Reds (MiLB),MiLB,.385,2,5,1.185,,,,,,Tournament breakout at 21. 1.185 OPS.,norida01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Andrew Fischer,Star,1B,Hitter,L,R,6-1,205,2003,"Yardley PA USA",Tampa Bay Rays,MLB,.350,3,7,1.152,,,,,,Tournament breakout at 22. 1.152 OPS.,fischan01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Kyle Teel,Star,C,Hitter,L,R,6-1,190,2002,"Mahwah NJ USA",Boston Red Sox (MiLB),MiLB,.385,3,8,2.048,,,,,,2.048 OPS. Catcher of the future.,teelky01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,J.J. D'Orazio,Star,SS,Hitter,R,R,6-0,180,2003,"Boca Raton FL USA",MiLB,MiLB,.385,1,5,1.087,,,,,,.385 BA. Italian-American shortstop.,doraJJ01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Mike Piazza,Manager,MGR,Hitter,R,R,6-3,200,1968,"Norristown PA USA",Hall of Fame,MLB,,,,,,,,,,Hall of Fame manager.,piazzmi01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Riccardo Aldegheri,,SP,Pitcher,R,R,6-1,195,1998,"Verona Italy",Tecnovap Verona,FIBS,,,,,2.45,7.0,8,0,10.3,FIBS native. Verona starter.,aldegri01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Lorenzo Scotti,,RP,Pitcher,R,R,6-0,190,2000,"Rome Italy",Nettuno Rome (FIBS),FIBS,,,,,3.00,4.0,5,0,11.3,FIBS native. Nettuno reliever.,scottlo01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Matteo Quattrini,,RP,Pitcher,R,R,6-2,200,1999,"Bologna Italy",Bologna (FIBS),FIBS,,,,,2.70,3.2,4,0,10.8,FIBS native. Bologna reliever.,quattma01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Vinnie Pasquantino,,1B,Hitter,L,R,6-4,245,1997,"Richmond VA USA",Kansas City Royals,MLB,.290,2,7,.987,,,,,,Italian-American power. KC starter.,pasquvi01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Joey Loperfido,,OF/1B,Hitter,L,L,6-3,210,1999,"Newark DE USA",Houston Astros,MLB,.255,1,3,.812,,,,,,Italian-American utility.,loperjo01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Nick Pivetta,,SP,Pitcher,R,R,6-5,213,1993,"Victoria BC Canada",San Diego Padres,MLB,,,,,2.45,7.0,8,0,10.3,Italian heritage starter.,pivetni01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Vinny Capra,,IF,Hitter,R,R,5-10,175,1996,"Pawcatuck CT USA",MiLB,MiLB,.276,1,3,.823,,,,,,Italian-American utility.,capravi01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Nicky Lopez,,2B,Hitter,L,R,5-11,175,1995,"Naperville IL USA",MiLB,MiLB,.250,0,2,.687,,,,,,Italian-American middle infielder.,lopezni01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Drew Maggi,,IF,Hitter,R,R,5-10,180,1989,"Phoenix AZ USA",MiLB,MiLB,.245,0,1,.612,,,,,,Italian-American veteran.,maggdr01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Vinnie Foglia,,C,Hitter,R,R,6-0,205,2002,"Sacramento CA USA",MiLB,MiLB,.265,1,4,.798,,,,,,Italian-American catching depth.,foglvi01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Jac Caglianone,Star,1B/OF,Hitter,L,L,6-5,250,2003,"Tampa FL USA",Kansas City Royals (MiLB),MiLB,.310,3,9,1.187,,,,,,Top prospect. Italian-American power-pitcher.,caglija01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Sal Frelick,,OF,Hitter,L,L,5-9,180,2000,"Lexington MA USA",Milwaukee Brewers,MLB,.290,1,5,.876,,,,,,Italian-American outfielder.,frelisa01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Mike Antico,,OF,Hitter,L,L,5-11,185,1997,"Milford CT USA",MiLB,MiLB,.245,0,3,.687,,,,,,Italian-American outfielder.,anticmi01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Mike Rivera,,C,Hitter,R,R,5-11,200,1991,"Mayaguez Puerto Rico",NPB,NPB,.265,1,3,.756,,,,,,Catching depth.,rivermi01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Chase Burns,,SP,Pitcher,R,R,6-3,210,2002,"Gallatin TN USA",Cincinnati Reds (MiLB),MiLB,,,,,3.00,5.0,7,0,12.6,Italian-American top pitching prospect.,burnsch01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Joe Brigante,,RP,Pitcher,R,R,6-2,190,2000,"Italy",MiLB,MiLB,,,,,3.50,3.0,3,0,9.0,Italian-American reliever.,brigaJo01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Cody Frasso,,RP,Pitcher,R,R,6-2,210,1999,"Brooklyn NY USA",MiLB,MiLB,,,,,2.70,3.2,4,0,10.8,Italian-American reliever.,frassco01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Domenic Picone,,RP,Pitcher,R,R,5-11,180,2001,"Italy",FIBS,FIBS,,,,,3.86,3.0,3,0,9.0,FIBS native pitcher.,picondo01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Filippo Crepaldi,,RP,Pitcher,R,R,6-0,180,1998,"Milan Italy",Bologna (FIBS),FIBS,,,,,3.50,3.0,3,0,9.0,FIBS native pitcher.,crepafi01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,Andre Pallante,,SP/RP,Pitcher,R,R,6-1,200,1998,"Mission Viejo CA USA",St. Louis Cardinals,MLB,,,,,3.00,5.0,5,0,9.0,Italian-American swingman.,pallaan01,
WBC 2026,Italy,ITA,Semifinalist,A,#008C45,#CD2027,David Fletcher,,IF,Hitter,R,R,5-9,175,1994,"Orange CA USA",MiLB,MLB,.225,0,1,.587,,,,,,Italian-American utility.,fletcda01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Mike Trout,Captain,OF,Hitter,R,R,6-2,235,1991,"Vineland NJ USA",Los Angeles Angels,MLB,.310,3,9,1.198,,,,,,Captain. 3rd WBC.,trouts01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Aaron Judge,Star,OF,Hitter,R,R,6-7,282,1992,"Linden CA USA",New York Yankees,MLB,.345,4,11,1.412,,,,,,Tournament HR leader.,judgaa01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Mookie Betts,Star,OF/2B,Hitter,R,R,5-10,180,1992,"Nashville TN USA",Los Angeles Dodgers,MLB,.298,2,8,1.087,,,,,,Veteran All-Star.,bettsmo01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Bobby Witt Jr,Star,SS,Hitter,R,R,6-1,200,2000,"Colleyville TX USA",Kansas City Royals,MLB,.385,2,9,1.298,,,,,,SS speed and power.,wittbo01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Pete Alonso,,1B,Hitter,R,R,6-3,245,1994,"Tampa FL USA",New York Mets,MLB,.290,3,8,1.054,,,,,,Power bat.,alonspe01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Will Smith,,C,Hitter,R,R,5-10,195,1995,"Louisville KY USA",Los Angeles Dodgers,MLB,.275,1,5,.876,,,,,,Starting catcher.,smithwi01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Cal Raleigh,,C,Hitter,S,R,6-3,235,1996,"Asheville NC USA",Seattle Mariners,MLB,.265,2,4,.912,,,,,,Switch-hitting catcher.,ralehca01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Trea Turner,,SS/2B,Hitter,R,R,6-2,185,1993,"Lake Worth FL USA",Philadelphia Phillies,MLB,.302,1,6,.987,,,,,,Veteran middle infielder.,turnetr01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Corbin Carroll,Star,OF,Hitter,L,L,5-10,165,2000,"Seattle WA USA",Arizona Diamondbacks,MLB,.310,2,7,1.045,,,,,,Five-tool young star.,carroco01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Gunnar Henderson,,SS/3B,Hitter,L,R,6-3,210,2001,"Selma AL USA",Baltimore Orioles,MLB,.275,1,5,.876,,,,,,All-Star young infielder.,hendegu01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Elly De La Cruz,Star,SS,Hitter,S,R,6-5,200,2001,"Sabana Grande de Boya DR",Cincinnati Reds,MLB,.298,2,8,1.087,,,,,,Five-tool sensation.,delaCel01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Riley Greene,,OF,Hitter,L,R,6-3,205,2000,"Oviedo FL USA",Detroit Tigers,MLB,.290,2,7,1.005,,,,,,Tigers OF.,greenri01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Adley Rutschman,,C,Hitter,S,R,6-2,235,1998,"Sherwood OR USA",Baltimore Orioles,MLB,.280,1,4,.876,,,,,,Switch-hitting catcher.,rutscad01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Bo Bichette,,SS,Hitter,R,R,6-0,200,1998,"Orlando FL USA",Toronto Blue Jays,MLB,.265,1,3,.812,,,,,,SS depth.,bichebo01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Paul Skenes,Ace,SP,Pitcher,R,R,6-6,235,2002,"Lake Forest CA USA",Pittsburgh Pirates,MLB,,,,,1.20,9.0,15,0,15.0,Tournament rotation ace. Cy Young trajectory.,skenepa01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Tarik Skubal,Ace,SP,Pitcher,L,L,6-3,240,1996,"Yakima WA USA",Detroit Tigers,MLB,,,,,1.50,8.0,12,0,13.5,Cy Young winner. Tournament co-ace.,skubata01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Garrett Crochet,,SP,Pitcher,L,L,6-6,245,1999,"Ocean Springs MS USA",Boston Red Sox,MLB,,,,,2.00,7.0,10,0,12.9,Hard-throwing lefty.,crochga01,
WBC 2026,USA,USA,Runner-up,D,#0A3161,#B31942,Logan Webb,,SP,Pitcher,R,R,6-1,220,1996,"Rocklin CA USA",San Francisco Giants,MLB,,,,,2.45,7.1,8,0,9.8,Veteran rotation.,webblo01,
