Order (chronological),Display Title,Year (Almanac),Year (Wikipedia),Year Mismatch?,Type (auto),Director,Genre (source),Summary,Tags (manual),Controlled Tags,WBN Notes (factual),War-adjacent? (manual),International focus? (manual),Pre-FNL era? (auto),Pre-Moneyball era? (auto),Tags (auto),Baseball level,Setting (state/country),Release Decade,Almanac Details,Almanac Link,Wikipedia Link,Sources,Last verified,Needs research?,Simmons Top21?,Simmons Top21 Rank,Simmons Honorable Mention?,Simmons Not Mentioned?,Simmons Notes,Stream (Library),Stream (FAST),
48,Girls Can Play,1937,1937,,,Lambert Hillyer,Mystery,A women's softball team owner murders a player ( Rita Hayworth ) by poisoning her catcher's mitt. [ 27 ],,,,,,Yes,Yes,,,,1930s,Amazon,,https://en.wikipedia.org/wiki/Girls_Can_Play,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
49,Home Run on the Keys,1937,1937,,Short,Roy Mack,Short,Musicians Zez Confrey and Byron Gay sit with Babe Ruth and write a song about baseball. [ 9 ],,,,,,Yes,Yes,,,,1930s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
50,Manhattan Merry-Go-Round,1937,,,,,,,,,,,,Yes,Yes,,,,1930s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
51,Brother Rat,1938,,,,,,,,,,,,Yes,Yes,,,,1930s,Amazon,https://www.amazon.com/exec/obidos/asin/6304288891/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
52,Rawhide,1938,,,,,,,,,,,,Yes,Yes,,,,1930s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
53,How to Play Baseball,1942,,,,,,,,,,,,Yes,Yes,,,,1940s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
54,It Happened in Flatbush,1942,1942,,,Ray McCarey,Comedy,Hard-hearted manager ( Lloyd Nolan ) falls for Brooklyn team's owner. [ 28 ],,,,,,Yes,Yes,,,,1940s,Amazon,,https://en.wikipedia.org/wiki/It_Happened_in_Flatbush,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
55,The Pride of the Yankees,1942,1942,,,Sam Wood,Biographical,"The life and career of Lou Gehrig , with Gary Cooper as Gehrig and Babe Ruth as himself. [ 9 ]",,,,,,Yes,Yes,biopic/true story,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/630159942X/baseballalmanac,https://en.wikipedia.org/wiki/The_Pride_of_the_Yankees,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,Kanopy,Pluto TV,,,,,,
56,Woman Of The Year,1942,,,,,,,,,,,,Yes,Yes,,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/B000056BRK/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
57,Ladies' Day,1943,1943,,,Leslie Goodwins,Comedy,"Sox pitcher Wacky Waters ( Eddie Albert ) is distracted by a hot Hollywood movie star, Pepita Zorita ( Lupe Vélez ). [ 29 ]",,,,,,Yes,Yes,,,,1940s,Amazon,,https://en.wikipedia.org/wiki/Ladies%27_Day_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
58,Whistling In Brooklyn,1943,,,,,,,,,,,,Yes,Yes,,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/6302717698/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
59,The Naughty Nineties,1945,,,,,,,,,,,,Yes,Yes,,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/0783240554/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
60,Make Mine Music,1946,,,,,,,,,,,,Yes,Yes,,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004R99A/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
61,The Babe Ruth Story,1948,1948,,,Roy Del Ruth,Biographical,"The life and career of Babe Ruth , starring William Bendix . [ 30 ]",,,,,,Yes,Yes,biopic/true story,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/6301599446/baseballalmanac,https://en.wikipedia.org/wiki/The_Babe_Ruth_Story,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
62,It Happens Every Spring,1949,1949,,,Lloyd Bacon,Comedy,Ray Milland as a scientist whose secret formula turns him into a great pitcher. [ 31 ],,,,,,Yes,Yes,,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/6303037445/baseballalmanac,https://en.wikipedia.org/wiki/It_Happens_Every_Spring,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
63,Take Me Out To The Ballgame,1949,,,,,,,,,,,,Yes,Yes,,,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/6301978366/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
64,Take Me Out to the Ball Game,1949,1949,,,Busby Berkeley,Musical,"Frank Sinatra and Gene Kelly as singing, dancing ballplayers. [ 33 ]",,,,,,Yes,Yes,,,,1940s,,,https://en.wikipedia.org/wiki/Take_Me_Out_to_the_Ball_Game_(film),https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
65,The Kid from Cleveland,1949,1949,,,Herbert Kline,Drama,The '48 World Series champion Cleveland Indians come to the aid of a young fan. [ 34 ],,,,,,Yes,Yes,,,,1940s,Amazon,,https://en.wikipedia.org/wiki/The_Kid_from_Cleveland,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
66,The Stratton Story,1949,1949,,,Sam Wood,Biographical,"The career and fateful accident of pitcher Monty Stratton , starring James Stewart . [ 32 ]",,,,,,Yes,Yes,"war-adjacent, biopic/true story",,,1940s,Amazon,https://www.amazon.com/exec/obidos/asin/6302922933/baseballalmanac,https://en.wikipedia.org/wiki/The_Stratton_Story,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
67,Kill the Umpire,1950,1950,,,Lloyd Bacon,Comedy,William Bendix as a baseball fan who becomes an umpire. [ 35 ],,,,,,Yes,Yes,,,,1950s,Amazon,,https://en.wikipedia.org/wiki/Kill_the_Umpire,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
68,The Jackie Robinson Story,1950,1950,,,Alfred E. Green,Biographical,"Baseball pioneer Jackie Robinson as himself, with Ruby Dee as his wife . [ 36 ]",,,,,,Yes,Yes,biopic/true story,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6304719167/baseballalmanac,https://en.wikipedia.org/wiki/The_Jackie_Robinson_Story,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,Kanopy,Tubi,,,,,,
69,Angels in the Outfield,1951,1951,,,Clarence Brown,Comedy,A Pittsburgh Pirates manager ( Paul Douglas ) gets some help from above. [ 37 ],,,,,,Yes,Yes,,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6303117856/baseballalmanac,https://en.wikipedia.org/wiki/Angels_in_the_Outfield_(1951_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
70,On Moonlight Bay,1951,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6302728371/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
71,Rhubarb,1951,1951,,,Arthur Lubin,Comedy,Ray Milland in a cute tale about a cat who inherits a baseball team. [ 38 ],,,,,,Yes,Yes,,,,1950s,Amazon,,https://en.wikipedia.org/wiki/Rhubarb_(1951_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
72,The Pride of St. Louis,1952,1952,,,Harmon Jones,Biographical,Dan Dailey as the colorful pitcher Dizzy Dean . [ 39 ],,,,,,Yes,Yes,biopic/true story,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6301599276/baseballalmanac,https://en.wikipedia.org/wiki/The_Pride_of_St._Louis,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
73,The Winning Team,1952,1952,,,Lewis Seiler,Biographical,"Based on pitcher Grover Cleveland Alexander , played by Ronald Reagan . [ 40 ]",,,,,,Yes,Yes,biopic/true story,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6302344891/baseballalmanac,https://en.wikipedia.org/wiki/The_Winning_Team,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
74,Big Leaguer,1953,1953,,,Robert Aldrich,Drama,Hans Lobert ( Edward G. Robinson ) runs a training camp for baseball's New York Giants. [ 42 ],,,,,,Yes,Yes,war-adjacent,,,1950s,Amazon,,https://en.wikipedia.org/wiki/Big_Leaguer,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
75,"Jackie & Joe (The Jackie Robinson Story, The History of Joe Louis)",1953,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/630555708X/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
76,The Kid from Left Field,1953,1953,,,Harmon Jones,Comedy,The son of a peanut vendor ( Dan Dailey ) becomes the leader of a big-league team. [ 41 ],,,,,,Yes,Yes,,,,1950s,Amazon,,https://en.wikipedia.org/wiki/The_Kid_from_Left_Field_(1953_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
77,Casey Bats Again,1954,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
78,Play Ball With the Orioles,1954,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
79,Roogie's Bump,1954,1954,,,Harold Young,Comedy,A mysterious bump somehow gives a boy a big-league arm. [ 43 ],,,,,,Yes,Yes,,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6303982964/baseballalmanac,https://en.wikipedia.org/wiki/Roogie%27s_Bump,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
80,Strategic Air Command,1955,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
81,Three Stripes In The Sun,1955,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
82,"""Bang the Drum Slowly"" ( The United States Steel Hour )",1956,1956,,,Daniel Petrie,Drama,A pitcher develops a friendship with a catcher who has a terminal disease. Broadcast on The United States Steel Hour . Based on the novel of the same name by Mark Harris . [ 44 ],,,,,,Yes,Yes,,,,1950s,,,https://en.wikipedia.org/wiki/Bang_the_Drum_Slowly_(The_United_States_Steel_Hour),https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
83,I'll Buy You,1956,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
84,The Great American Pastime,1956,1956,,,Herman Hoffman,Comedy,"A man ( Tom Ewell ) decides to coach a Little League team, then regrets it. [ 45 ]",,,,,,Yes,Yes,,,,1950s,Amazon,,https://en.wikipedia.org/wiki/The_Great_American_Pastime,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
85,Fear Strikes Out,1957,1957,,,Robert Mulligan,Biographical,"The life and career of Jimmy Piersall , played by Anthony Perkins . [ 46 ]",,,,,,Yes,Yes,biopic/true story,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6301608976/baseballalmanac,https://en.wikipedia.org/wiki/Fear_Strikes_Out,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
86,Damn Yankees,1958,1958,,,George Abbott and Stanley Donen,Musical,A man sells his soul to the devil on behalf of the Washington Senators . [ 47 ],,,,,,Yes,Yes,,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6301609638/baseballalmanac,https://en.wikipedia.org/wiki/Damn_Yankees_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
87,The Geisha Boy,1958,,,,,,,,,,,,Yes,Yes,,,,1950s,Amazon,https://www.amazon.com/exec/obidos/asin/6302287375/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
